FID,parada,descricao,situacao,estrutura_de_paragem,tipo,geo_ponto_rede_pto
Paradas de onibus.fid-70332a8e_1869e51a008_4350,6710,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (203628.05087713496 8238910.255192086)
Paradas de onibus.fid-70332a8e_1869e51a008_4351,6711,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (203626.56905171252 8238879.548426787)
Paradas de onibus.fid-70332a8e_1869e51a008_4352,6712,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (203515.07089320186 8238613.41598372)
Paradas de onibus.fid-70332a8e_1869e51a008_4353,6713,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (203481.04692229116 8238551.783879598)
Paradas de onibus.fid-70332a8e_1869e51a008_4354,6827,Residencial Vitoria,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (203579.70332990907 8239213.733514023)
Paradas de onibus.fid-70332a8e_1869e51a008_4355,2436,CDP - CENTRO DE DETENCAO PROVISORIO - NUCLEO DE CUSTODIA DF 465,ATIVA,SEM ESTRUTURA,Habitual,POINT (201570.8375079342 8238655.709799351)
Paradas de onibus.fid-70332a8e_1869e51a008_4356,2548,SMDB ANTES DA ENTRADA DO CONJUNTO 22 A 24 EPCV,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (195646.57073125523 8245143.358085249)
Paradas de onibus.fid-70332a8e_1869e51a008_4357,2539,SMDB CONJUNTO 18 LOTE 3 EPCV,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (195657.61333245467 8245101.051662443)
Paradas de onibus.fid-70332a8e_1869e51a008_4358,2540,SMDB CONJUNTO 18 LOTE 8 ( LA LEOPOLDA) EPCV,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (196011.75688099314 8244936.129845869)
Paradas de onibus.fid-70332a8e_1869e51a008_4359,2541,SMDB ANTES DA ENTRADA CONJUNTO 12 A 13 - DEPOIS DO CONJUNTO EPCV,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (196628.75318050277 8244645.883289258)
Paradas de onibus.fid-70332a8e_1869e51a008_435a,2545,LADO OPOSTO A ENTRADA DO JARDIM BOTANICO EPCV,ATIVA,SEM ESTRUTURA,Cemusa,POINT (197010.84995564428 8244508.785456477)
Paradas de onibus.fid-70332a8e_1869e51a008_435b,2542,EM FRENTE AO JARDIM BOTANICO EPCV,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (197028.67001918633 8244463.318216309)
Paradas de onibus.fid-70332a8e_1869e51a008_435c,2546,SMDB ANTES ENTRADA CONJUNTO 12A  A 21 / 26 A 32 EPCV,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (196632.86653099261 8244698.565022123)
Paradas de onibus.fid-70332a8e_1869e51a008_435d,2547,SMDB CONJUNTO 20 LOTE 03 EPCV,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (196122.44370538267 8244921.583203439)
Paradas de onibus.fid-70332a8e_1869e51a008_435e,7804,"DF 140 - KM 4,5 - LADO OPOSTO ALPHA CENTER",ATIVA,,Tipo C,POINT (204670.70043632336 8238242.600795464)
Paradas de onibus.fid-70332a8e_1869e51a008_435f,7807,DF 473 - BAIRRO RESIDENCIAL CRIX�,ATIVA,,Tipo C,POINT (204674.43404714845 8238203.336498561)
Paradas de onibus.fid-70332a8e_1869e51a008_4360,7808,DF 473 - LADO OPOSTO BAIRRO RESIDENCIAL CRIX�,ATIVA,,Tipo C,POINT (204670.70043632336 8238242.600795464)
Paradas de onibus.fid-70332a8e_1869e51a008_4361,6816,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (202920.71705730015 8237690.0835592)
Paradas de onibus.fid-70332a8e_1869e51a008_4362,7814,BAIRRO MORRO DA CRUZ - AV PRINCIPAL - LADO OPOSTO A CHACARA 61 - A1 - CENTRAL DE BEBIDAS,ATIVA,,Tipo C,POINT (202919.37565498828 8237669.65754469)
Paradas de onibus.fid-70332a8e_1869e51a008_4363,6818,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (202821.75094740035 8237411.436933413)
Paradas de onibus.fid-70332a8e_1869e51a008_4364,6817,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (202927.11145300145 8237682.69965533)
Paradas de onibus.fid-70332a8e_1869e51a008_4365,6819,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (202831.66409190896 8237415.349091571)
Paradas de onibus.fid-70332a8e_1869e51a008_4366,6820,DF 473 - Feira do Produtor,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (204652.74738951412 8238222.860610883)
Paradas de onibus.fid-70332a8e_1869e51a008_4367,6821,DF 473 - Feira do Produtor,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (204672.12643408345 8238236.824988899)
Paradas de onibus.fid-70332a8e_1869e51a008_4368,6714,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (203309.97163880308 8238241.367273863)
Paradas de onibus.fid-70332a8e_1869e51a008_4369,6715,Avenida Morro da Cruz,DESATIVADA,SEM ESTRUTURA,Habitual,POINT (203313.50162891916 8238224.287334838)
Paradas de onibus.fid-70332a8e_1869e51a008_436a,2434,CENTRO DE INTERNAMENTO E REEDUCACAO - PAPUDA DF 465,ATIVA,SEM ESTRUTURA,Placa,POINT (201703.28321930446 8238030.944422276)
Paradas de onibus.fid-70332a8e_1869e51a008_436b,3168,QUADRA 30 LOTE 17 EUGENIO JARDIM,ATIVA,SEM ESTRUTURA,Tipo C,POINT (214613.15988074715 8271511.495598877)
Paradas de onibus.fid-70332a8e_1869e51a008_436c,3157,AREA ESPECIAL - PROX. CAESB GOIAS,ATIVA,SEM ESTRUTURA,Tipo C,POINT (213901.5787903528 8271222.999190341)
Paradas de onibus.fid-70332a8e_1869e51a008_436d,6654,Setor Tradicional - Lado Oposto  a Quadra 150 - Lotes 03/04,ATIVA,SEM ESTRUTURA,Placa,POINT (214466.36316461136 8270907.656371185)
Paradas de onibus.fid-70332a8e_1869e51a008_436e,6655,Setor Tradicional - Quadra 150 - Lotes 03/04,ATIVA,SEM ESTRUTURA,Placa,POINT (214456.82649249778 8270905.795557113)
Paradas de onibus.fid-70332a8e_1869e51a008_436f,3163,QUADRA 161 CASA 20 MARANHAO,ATIVA,SEM ESTRUTURA,Habitual,POINT (214650.44767499942 8270485.880154384)
Paradas de onibus.fid-70332a8e_1869e51a008_4370,3158,QUADRA 142 LOTE 11C GOIAS,ATIVA,SEM ESTRUTURA,Tipo C,POINT (214521.68856852356 8271210.228937586)
Paradas de onibus.fid-70332a8e_1869e51a008_4371,3159,LADO OPOSTO AREA ESPECIAL - CAESB GOIAS,ATIVA,SEM ESTRUTURA,Tipo C,POINT (213874.9846703126 8271245.12094894)
Paradas de onibus.fid-70332a8e_1869e51a008_4372,3165,LADO OPOSTO ENTRE QUADRA 153/157 (QUADRA 71/ CASA 2) MARANHAO,ATIVA,SEM ESTRUTURA,Habitual,POINT (214510.22570713295 8270727.608928982)
Paradas de onibus.fid-70332a8e_1869e51a008_4373,3164,QUADRA 81 LOTE MARANHAO,ATIVA,SEM ESTRUTURA,Habitual,POINT (214640.02583397093 8270473.935607119)
Paradas de onibus.fid-70332a8e_1869e51a008_4374,3162,ENTRE QUADRA 153/157 MARANHAO,ATIVA,SEM ESTRUTURA,Habitual,POINT (214527.09526633588 8270708.60921392)
Paradas de onibus.fid-70332a8e_1869e51a008_4375,3161,LADO OPOSTO PRACA SAO SEBASTIAO (Q.153CASA 4) MARANHAO,ATIVA,SEM ESTRUTURA,Habitual,POINT (214481.930719934 8270828.477519451)
Paradas de onibus.fid-70332a8e_1869e51a008_4376,3160,QUADRA 58 MARANHAO,ATIVA,SEM ESTRUTURA,Habitual,POINT (214447.62999287748 8271197.057750379)
Paradas de onibus.fid-70332a8e_1869e51a008_4377,3143,QUADRA 16 CASA 150 MARECHAL DEODORO,ATIVA,SEM ESTRUTURA,Placa,POINT (214939.69594182685 8271970.709426446)
Paradas de onibus.fid-70332a8e_1869e51a008_4378,3145,QUADRA 37 LOTE 10 MARECHAL DEODORO,ATIVA,SEM ESTRUTURA,Metrobel,POINT (214918.47757423675 8271433.918860312)
Paradas de onibus.fid-70332a8e_1869e51a008_4379,3153,PRACA MATRIZ IGREJA SAO SEBASTIAO MARECHAL DEODORO,ATIVA,SEM ESTRUTURA,Concreto,POINT (214928.9331827329 8271178.111358072)
Paradas de onibus.fid-70332a8e_1869e51a008_437a,3154,QUADRA 26 LOTE CASA 611 MARECHAL DEODORO,ATIVA,SEM ESTRUTURA,Placa,POINT (214943.79484767548 8271526.271357579)
Paradas de onibus.fid-70332a8e_1869e51a008_437b,3155,QUADRA 20 CASA 05 MARECHAL DEODORO,ATIVA,SEM ESTRUTURA,Metrobel,POINT (214954.2340995983 8271854.7616729755)
Paradas de onibus.fid-70332a8e_1869e51a008_437c,3144,QUADRA 21 LOTE 02-A MARECHAL DEODORO,ATIVA,SEM ESTRUTURA,Placa,POINT (214936.53913878714 8271831.856049362)
Paradas de onibus.fid-70332a8e_1869e51a008_437d,3167,QUADRA 27 EUGENIO JARDIM,ATIVA,SEM ESTRUTURA,Placa,POINT (214837.6344513042 8271502.332662458)
