Linha,Sentido,Paradas
0.018,IDA,"[[(201525.5071962654, 8255354.906054546), 6856], [(201192.67654007446, 8255142.432494853), 7556], [(201189.0860030583, 8254514.356009521), 7558], [(200817.68417763343, 8254726.716363162), 7559], [(200646.35869982635, 8255167.976454443), 7560], [(202062.1202021696, 8253497.89908535), 6134], [(202264.9653035418, 8253182.1119790645), 2715], [(200607.64221866205, 8250815.612929205), 2397], [(199882.1395653622, 8250154.459492747), 2398], [(199432.39139832804, 8249696.607958136), 2399], [(199404.33179370317, 8249179.399981369), 2400], [(199337.3250624908, 8248380.864572593), 2402], [(198908.38389287482, 8247961.38511632), 2403], [(198573.64172063474, 8247635.333117548), 2404], [(197694.43966724921, 8247298.529282081), 2405], [(197313.89879332634, 8247701.394483858), 2441], [(196512.9960310925, 8249077.343373832), 2535], [(195658.0244821077, 8249561.389519616), 3617], [(194991.68101481366, 8250027.107136078), 2536], [(194305.32248767375, 8250905.641247721), 3244], [(193340.70140134258, 8251203.0360055445), 3290], [(192840.79309214067, 8251354.468923285), 6960], [(191481.1210994869, 8251780.882194247), 3250], [(190700.7218567105, 8252055.426684973), 3251], [(190625.27193503163, 8252846.5954464935), 3505], [(190619.17208496187, 8253196.441279561), 3506], [(190585.00952220432, 8253553.594632948), 3507], [(190473.57809777986, 8254256.165194158), 3509], [(190322.66280183918, 8254809.044596968), 3511], [(190217.61899194724, 8255131.630785237), 3512], [(190103.35572551686, 8255484.904683626), 3513], [(189995.57942850498, 8255813.307955481), 3514], [(189876.18568335177, 8256181.438554192), 3515], [(189772.80780796942, 8256499.775844228), 3516], [(189651.87968091277, 8256865.893322604), 3517], [(189549.2737386107, 8257181.852199043), 3518], [(189423.7273241693, 8257570.028224368), 3519], [(189381.9833703522, 8258021.2960928595), 3520], [(188527.5841133911, 8258097.535925634), 6289]]"
0.018,VOLTA,"[[(188739.5290032365, 8258122.98075948), 6287], [(189285.61650584632, 8257858.764298311), 3523], [(189406.00966588032, 8257490.907248838), 3524], [(189510.99294595528, 8257168.520470135), 3525], [(189629.4939881902, 8256805.2914250465), 3526], [(189734.96094241293, 8256481.893770757), 3527], [(189851.29972286883, 8256124.173616398), 3528], [(189957.58434905877, 8255797.271529938), 3529], [(190076.22523004655, 8255434.331641055), 3530], [(190179.6754340932, 8255115.173147885), 3531], [(190297.81348333115, 8254751.666301979), 3532], [(190506.04257028562, 8253843.892649552), 3535], [(190547.71457660716, 8253513.445100055), 3536], [(190575.77520444727, 8253170.847098725), 3537], [(190570.83115485572, 8252698.3407064015), 3538], [(192248.2845967843, 8251280.160657467), 3269], [(192968.6177473792, 8251056.569322089), 3272], [(193331.159927079, 8250944.680728183), 3273], [(194309.4637950105, 8250875.231044563), 3274], [(195017.21486398455, 8249953.177769543), 2442], [(196486.38575385814, 8249057.564965221), 2443], [(197263.56197022658, 8247706.0854176115), 2444], [(197743.6739828502, 8247250.059487214), 2386], [(198094.49743470957, 8247255.888379939), 2387], [(198682.2423135317, 8247674.973165087), 2388], [(198933.82780638683, 8247920.757075277), 2389], [(199310.93975304306, 8248287.963422853), 2390], [(199521.22599708216, 8248639.073873356), 2391], [(199513.49712263636, 8248952.484279242), 2392], [(199434.33011617302, 8249246.902477086), 2393], [(199531.9499234248, 8249765.371365162), 2394], [(199940.1179282623, 8250143.571849004), 2395], [(200645.964806356, 8250818.936178273), 2396], [(201865.58619388548, 8251766.60307277), 2350], [(202438.4382179837, 8252838.548578775), 2696], [(202336.07944806217, 8253167.366014072), 2697], [(202189.10976062034, 8253424.370089647), 2698], [(201525.5071962654, 8255354.906054546), 6856], [(201192.67654007446, 8255142.432494853), 7556], [(201189.0860030583, 8254514.356009521), 7558], [(200817.68417763343, 8254726.716363162), 7559], [(200646.35869982635, 8255167.976454443), 7560], [(202045.95874263713, 8255525.451532738), 2707]]"
100.2,VOLTA,"[[(191225.63215564645, 8251734.843398984), 3368], [(191756.77141613493, 8251331.695231052), 3292], [(191505.03985682336, 8250566.530774557), 3294], [(191196.47052916753, 8250197.192566121), 3295], [(190901.77366873264, 8249840.6683242265), 3296], [(190613.76176118143, 8249498.711043272), 3297], [(190401.97272769574, 8249272.406934383), 3298], [(190122.99210343335, 8249000.579292806), 3299], [(189808.0203541651, 8248723.000676388), 3300], [(189468.47485309705, 8248460.807828165), 3301], [(189193.60229672637, 8248248.901478907), 3302], [(188897.49908145063, 8248022.3757996345), 3303], [(188610.9092330374, 8247801.890554849), 3304], [(188326.66366865195, 8247583.862296303), 3305], [(188034.77346350625, 8247358.913678705), 3306], [(187756.51646532054, 8247145.821333963), 3307], [(187468.46672980316, 8246924.362912458), 3308], [(187130.385328626, 8246665.487405735), 3309], [(186422.9421998161, 8244498.278010131), 2502], [(187365.4406942288, 8244720.661613353), 2504], [(187756.5823354766, 8244853.014924359), 2505], [(188043.31921351183, 8245159.637775489), 2506], [(188530.22152525134, 8245511.668496006), 2507], [(189016.59568418315, 8245690.692736225), 2508], [(189854.57852823386, 8245995.9444713965), 2510], [(190541.3861035587, 8246251.598969247), 2511], [(190979.50995387702, 8246562.72124143), 2512], [(191320.7038870096, 8247090.1232275665), 2513], [(191578.24810560947, 8247541.464653081), 2514], [(192844.66778834985, 8247348.6301630335), 2516], [(192871.2964761299, 8246838.537659674), 2517], [(192656.99633982743, 8246531.382991016), 2518], [(192408.03913801166, 8246216.526308103), 2519], [(192133.31165662888, 8245868.892665126), 2520], [(191883.20149597494, 8245015.202831273), 2522], [(192644.25301618635, 8244492.48479544), 2523], [(193230.4458725321, 8244676.844695656), 2524], [(193640.2202703925, 8244847.443582286), 2525], [(194085.6418330237, 8245423.17616414), 2526], [(194233.41932644852, 8246007.83906283), 2528], [(194554.11831187282, 8246260.806710428), 2529], [(195076.7174166577, 8246376.524936898), 2530], [(195460.20772342815, 8246460.08967344), 2531], [(196180.25227082026, 8246987.659851399), 2532], [(196408.65766616026, 8247240.414471188), 2533], [(197078.13363685273, 8247294.190787372), 2534], [(197743.6739828502, 8247250.059487214), 2386], [(198094.49743470957, 8247255.888379939), 2387], [(198682.2423135317, 8247674.973165087), 2388], [(198933.82780638683, 8247920.757075277), 2389], [(199310.93975304306, 8248287.963422853), 2390], [(199521.22599708216, 8248639.073873356), 2391], [(199513.49712263636, 8248952.484279242), 2392], [(199434.33011617302, 8249246.902477086), 2393], [(199531.9499234248, 8249765.371365162), 2394], [(199940.1179282623, 8250143.571849004), 2395], [(200645.964806356, 8250818.936178273), 2396], [(201865.58619388548, 8251766.60307277), 2350], [(202438.4382179837, 8252838.548578775), 2696], [(202336.07944806217, 8253167.366014072), 2697], [(202189.10976062034, 8253424.370089647), 2698], [(202119.55955829547, 8255054.343767793), 2705], [(202045.95874263713, 8255525.451532738), 2707], [(201525.5071962654, 8255354.906054546), 6856], [(201192.67654007446, 8255142.432494853), 7556], [(200817.68417763343, 8254726.716363162), 7559], [(200646.35869982635, 8255167.976454443), 7560]]"
0.946,IDA,"[[(173993.94907628946, 8251128.839942831), 6705], [(174107.65605389673, 8251432.09433435), 6260], [(174379.9281162654, 8251445.619410208), 5233], [(175098.34500697633, 8251451.206489245), 5232], [(175853.6739828022, 8251535.686401467), 5229], [(176593.8390540392, 8251127.749108141), 5239], [(176808.95849930256, 8250855.466917104), 5264], [(176658.59098994668, 8250503.79237121), 5281], [(176216.24899290194, 8250510.990708336), 5267], [(175759.66800371147, 8250507.045101347), 5268], [(175253.51057350292, 8250490.382772238), 5278], [(174959.25928041368, 8250489.213164929), 5277], [(174514.22417791525, 8250482.374720148), 5276], [(174026.7547318237, 8250495.578308379), 5272], [(174155.06199433038, 8249865.845800122), 5254], [(174871.0156524855, 8249862.457705461), 6896], [(175178.55703824232, 8249877.805330578), 5252], [(175467.72960792098, 8249867.9086734075), 5246], [(176162.24048254572, 8249871.065580845), 5248], [(176775.18533139775, 8249225.649517635), 7005], [(177313.82707729892, 8249104.733651691), 5258], [(177691.56824776824, 8249067.441492001), 4995], [(179337.55889603397, 8249647.600470212), 2249], [(179905.5561135404, 8249571.627654727), 2254], [(180261.219828193, 8249528.746669898), 2257], [(182193.92558476617, 8250083.212783394), 2256], [(183088.63560562345, 8249954.496132862), 2258], [(186258.52351777864, 8247469.846344761), 3681], [(187072.22658845445, 8247383.004141379), 3340], [(187645.89030506217, 8247822.551024338), 3342], [(188216.26218335005, 8248260.679853225), 3346], [(188789.02779485492, 8248700.512352758), 3350], [(189360.7360385759, 8249141.672259031), 3354], [(189901.5445094383, 8249626.448272564), 3358], [(190401.226520792, 8250185.335211844), 3362], [(190845.54068315975, 8250787.819562267), 3366]]"
0.373,IDA,"[[(162532.11422302714, 8241107.6575780185), 7631], [(163384.63657956343, 8240720.960818381), 4215], [(162943.46488045936, 8239948.18227561), 4219], [(163666.26802272594, 8240654.486875939), 4225], [(164257.93388010806, 8240312.301142921), 4167], [(164644.0874541013, 8240505.7144842595), 4032], [(164967.40311243595, 8240892.88802404), 4210], [(165173.97843858652, 8241553.090934635), 4229], [(165545.7672779808, 8241735.657710896), 4230], [(165982.83519079065, 8241951.741703777), 6861], [(166469.02115703252, 8242189.397905233), 4232], [(166844.5927689012, 8242277.446266762), 4233], [(167302.02795797779, 8242436.736181511), 4234], [(167543.700588078, 8242571.531388712), 4235], [(167974.3661591155, 8243128.910832122), 4237], [(168532.68410328473, 8243455.0375761865), 4239], [(168983.51849012845, 8243676.26267), 4244], [(169246.7405181541, 8243811.34379576), 4245], [(169663.22382979718, 8244142.166819119), 4247], [(170012.55895493884, 8244388.042891935), 4248], [(170292.98552428017, 8244524.848016619), 4249], [(170563.86834073224, 8244659.556241067), 4250], [(170834.33169382997, 8244794.725627945), 4251], [(171097.5632261819, 8244533.460076932), 4043], [(171401.34637852147, 8244209.506431403), 4044], [(171869.14308379608, 8244157.322884554), 4045], [(172657.00284659216, 8243502.098986583), 4046], [(172619.6091084564, 8243146.513895463), 4047], [(172334.82525494252, 8242574.909746706), 4048], [(174471.30215857035, 8242566.020413943), 5391], [(178942.04751602706, 8242345.131451423), 6051], [(182433.86741592022, 8243577.473177643), 6058], [(182855.29332448347, 8243812.159147771), 6059], [(183426.52730303697, 8244549.065167186), 1233], [(183496.51589736817, 8245069.230620267), 1235], [(184907.94021742448, 8246017.598657041), 3673], [(186936.62651219548, 8245967.986220076), 3283], [(187236.31073571387, 8246070.944026135), 3284], [(187110.2647808053, 8246459.027582086), 3281], [(187072.22658845445, 8247383.004141379), 3340], [(187645.89030506217, 8247822.551024338), 3342], [(188216.26218335005, 8248260.679853225), 3346], [(188789.02779485492, 8248700.512352758), 3350], [(189360.7360385759, 8249141.672259031), 3354], [(189901.5445094383, 8249626.448272564), 3358], [(190401.226520792, 8250185.335211844), 3362], [(190845.54068315975, 8250787.819562267), 3366]]"
503.3,IDA,"[[(201402.28231124312, 8267949.419415804), 4922], [(201229.53331217403, 8268292.703902614), 4923], [(200830.40535502008, 8268324.5249680225), 4843], [(200219.9973629405, 8268437.572939186), 4844], [(199866.3500796497, 8268503.22052278), 4845], [(199474.46091659568, 8268258.190953269), 4808], [(199196.43893176125, 8268124.494069352), 4854], [(198204.22173082893, 8268607.208595097), 6201], [(197864.0500603774, 8268702.759512003), 4872], [(197613.77130715037, 8268826.563826103), 7650], [(197702.01126055472, 8268325.323571558), 4903], [(197266.0152384115, 8269469.488458981), 4874], [(196901.8440979605, 8269537.71662176), 4875], [(196432.7257558721, 8269294.937557444), 4876], [(195803.66164291953, 8269137.6672715135), 4878], [(195265.09445338213, 8269016.4823915735), 4879], [(194813.4324813083, 8269047.426833618), 4880], [(194559.26601789222, 8268544.750002063), 4700], [(194836.31503656862, 8267611.293653052), 4701], [(194817.54400424915, 8267030.373925553), 4702], [(194962.09950898748, 8266743.379491164), 4703], [(195264.67680908763, 8266091.615867186), 4704], [(195473.45525085158, 8265754.175590543), 4705], [(195460.31851924193, 8265219.653786594), 4706], [(194475.75020257273, 8264340.4974735845), 4717], [(193702.82300805353, 8263718.071726772), 4719], [(192374.46986306232, 8262923.356036427), 4720], [(189095.56619191405, 8260728.656689658), 4721], [(187373.21406645747, 8257680.279833706), 6645], [(186810.96564075304, 8256722.160427009), 3634], [(186507.6384902102, 8256201.150820269), 3636], [(185555.1334603469, 8255776.690378474), 3769], [(185639.34447317885, 8255347.647875722), 3757], [(185499.24713522784, 8254891.528305058), 3759], [(184928.61520752904, 8252952.749340742), 3643], [(184562.52581294428, 8251749.334380913), 3663], [(184283.13512499369, 8251431.675605116), 2197], [(183925.69384795544, 8251073.044709658), 2199], [(183845.98543090094, 8250727.564081748), 7599], [(183209.18060432386, 8250501.612653415), 2218], [(182565.64974978525, 8250591.728903388), 2219], [(182150.41906600277, 8250650.535612281), 2220], [(181749.6715966999, 8250708.591251727), 2221], [(182343.70548694782, 8250343.465378113), 2231], [(182746.1792897305, 8250285.652385459), 2232], [(183993.26651392577, 8249163.661297721), 3668], [(183341.69160720985, 8248744.194178953), 2190], [(183281.49905324256, 8248326.53817584), 2191], [(183234.89598120502, 8247963.529384485), 2192], [(183717.4670244973, 8247429.014406922), 3671], [(184686.42106035835, 8247342.211965722), 6658], [(185092.4899532849, 8247004.779541624), 6282]]"
531.1,VOLTA,"[[(201402.28231124312, 8267949.419415804), 4922], [(201130.76538079558, 8267829.663434813), 4834], [(200086.6082651356, 8267953.37167911), 4836], [(199519.52977395448, 8268062.16917173), 6122], [(199196.43893176125, 8268124.494069352), 4854], [(198204.22173082893, 8268607.208595097), 6201], [(197864.0500603774, 8268702.759512003), 4872], [(197613.77130715037, 8268826.563826103), 7650], [(197702.01126055472, 8268325.323571558), 4903], [(197266.0152384115, 8269469.488458981), 4874], [(196901.8440979605, 8269537.71662176), 4875], [(196432.7257558721, 8269294.937557444), 4876], [(195803.66164291953, 8269137.6672715135), 4878], [(195265.09445338213, 8269016.4823915735), 4879], [(194813.4324813083, 8269047.426833618), 4880], [(194356.34973187756, 8269128.546114256), 4661], [(193694.5075708875, 8269693.1846121745), 6220], [(192235.97136973974, 8271863.227227227), 4662], [(192312.87826930732, 8272684.515073958), 4663], [(192077.81884433434, 8273022.886439222), 4664], [(191799.19412271873, 8273404.247926465), 4666], [(191725.76775685622, 8273790.347820372), 4667], [(191052.31262721587, 8274269.371817974), 4669], [(192377.95173824107, 8274376.907028361), 4682], [(192873.64892470386, 8274654.823656176), 4683], [(193153.867451793, 8274755.287062843), 4684], [(193964.6695036022, 8275589.58485887), 6167]]"
531.1,IDA,"[[(193906.1291227289, 8275539.5304851215), 6169], [(193133.95210993796, 8274766.6624696385), 4690], [(192803.26340307953, 8274641.177403119), 4691], [(192266.55596361932, 8274342.632536204), 4692], [(191052.31262721587, 8274269.371817974), 4669], [(191821.53091139375, 8273348.304858537), 4694], [(192089.75705081242, 8272962.040582688), 4695], [(192328.99788622867, 8272538.864393672), 4696], [(193679.7327096127, 8269675.982534477), 6221], [(194492.6297247656, 8269068.4852992045), 4660], [(195345.1584579366, 8268996.934607172), 4864], [(195792.6596556079, 8269101.682523987), 4865], [(196181.3799744029, 8269187.679241244), 4866], [(196571.75206220424, 8269317.261251494), 4867], [(196884.7780980831, 8269479.320577666), 4868], [(197308.8204816868, 8269379.043909146), 4869], [(197352.46081921097, 8269007.752526414), 4912], [(197092.49372480455, 8268798.152756485), 4910], [(197189.76482016227, 8268175.061623087), 4917], [(197875.68225299806, 8268583.935275061), 4921], [(199813.77859444413, 8267984.6337991385), 4831], [(200680.33404651016, 8267820.4284322085), 4832], [(200982.6240520842, 8267763.248034056), 4833]]"
396.2,VOLTA,"[[(188739.5290032365, 8258122.98075948), 6287], [(189285.61650584632, 8257858.764298311), 3523], [(189406.00966588032, 8257490.907248838), 3524], [(189510.99294595528, 8257168.520470135), 3525], [(189629.4939881902, 8256805.2914250465), 3526], [(189734.96094241293, 8256481.893770757), 3527], [(189851.29972286883, 8256124.173616398), 3528], [(189957.58434905877, 8255797.271529938), 3529], [(190076.22523004655, 8255434.331641055), 3530], [(190179.6754340932, 8255115.173147885), 3531], [(190297.81348333115, 8254751.666301979), 3532], [(190506.04257028562, 8253843.892649552), 3535], [(190547.71457660716, 8253513.445100055), 3536], [(190575.77520444727, 8253170.847098725), 3537], [(190570.83115485572, 8252698.3407064015), 3538], [(190209.03241758925, 8251451.811272773), 3542], [(189644.98434749688, 8250625.3057868285), 3549], [(189212.53851062065, 8250159.52345088), 3550], [(188725.73440261654, 8249740.437633227), 3551], [(188409.70275934873, 8249496.473861199), 3552], [(188157.94256196212, 8249303.370406082), 3553], [(187931.8346133458, 8249129.994791511), 3554], [(187620.26233633162, 8248890.693980674), 3555], [(187341.49559256263, 8248677.156034567), 3556], [(187057.0262696956, 8248458.447896175), 3557], [(186766.06940547808, 8248234.977890616), 3558], [(186495.95887555182, 8248027.685981722), 3559], [(185440.1407478593, 8248742.323268768), 3676], [(185354.74787101735, 8249133.96126139), 3677], [(183993.26651392577, 8249163.661297721), 3668], [(183833.0758140156, 8248147.478349342), 3670], [(183415.45866036508, 8245055.583311323), 2083], [(183338.61290390242, 8244588.7239051275), 2085], [(180824.56833699017, 8242760.547698428), 6062], [(179608.3399820652, 8242467.507273224), 6064], [(177836.0863683097, 8242279.173103978), 6069], [(177010.72857472504, 8242285.640347289), 1242], [(172421.7784901507, 8242621.478127198), 4031], [(172267.71130482055, 8242996.372078949), 4049], [(171553.50701368693, 8242871.359414223), 4051], [(171238.3594544995, 8242768.1933957), 4052], [(170917.94265585014, 8242660.19391011), 4053], [(170447.9202525281, 8242505.619722737), 4055], [(169842.2410789898, 8242305.4416670045), 4057], [(169029.22179985757, 8242117.550859027), 6859], [(168766.0881521628, 8241952.213454703), 4059], [(168448.04949582682, 8241765.782859517), 4060], [(168040.60242923524, 8241459.506949741), 7628], [(167570.01525445865, 8241227.052141832), 4063], [(167321.9382338674, 8241105.722990788), 4064], [(167024.71538171463, 8240911.264337678), 4065], [(166162.2787651837, 8240458.18413458), 4068], [(165740.8512594137, 8240247.846086671), 4069], [(165011.7699855303, 8239886.73700902), 4071]]"
0.851,IDA,"[[(165052.96364968148, 8239621.733858079), 7964], [(165519.50935198984, 8240080.501787133), 4072], [(166181.77132955397, 8240408.340202328), 4074], [(166785.07718075236, 8240705.967169108), 4075], [(167024.4150224111, 8240845.66731508), 4076], [(167394.41227937845, 8241078.037071037), 4077], [(167969.01554105157, 8241361.37820304), 4079], [(168469.4342046794, 8241710.259554645), 4081], [(168737.0888006378, 8241884.1189426035), 7967], [(169046.70152385905, 8242062.295537735), 6858], [(169638.00858346588, 8242232.169984236), 4083], [(170169.4554514562, 8242358.642560766), 4085], [(170958.14202465338, 8242618.79168801), 4088], [(171257.94782940444, 8242718.225146533), 4089], [(172334.82525494252, 8242574.909746706), 4048], [(174471.30215857035, 8242566.020413943), 5391], [(178942.04751602706, 8242345.131451423), 6051], [(182433.86741592022, 8243577.473177643), 6058], [(182855.29332448347, 8243812.159147771), 6059], [(183426.52730303697, 8244549.065167186), 1233], [(183496.51589736817, 8245069.230620267), 1235], [(184907.94021742448, 8246017.598657041), 3673], [(186936.62651219548, 8245967.986220076), 3283], [(187236.31073571387, 8246070.944026135), 3284], [(187110.2647808053, 8246459.027582086), 3281], [(187400.19606091466, 8246831.168458769), 3315], [(187777.22917684593, 8247115.554698113), 3316], [(188073.43749400997, 8247336.845239667), 3317], [(188354.7380520248, 8247551.240781297), 3318], [(188639.11304470076, 8247769.710370496), 3319], [(189266.87700830537, 8248252.092649306), 3320], [(189493.77450446098, 8248425.952241242), 3321], [(189832.4585697588, 8248691.433567453), 3322], [(190151.57857738528, 8248968.868507466), 3323], [(190432.6087918833, 8249243.203872055), 3324], [(190651.28187287977, 8249478.339037623), 3325], [(191537.4200466294, 8250539.953993252), 3328], [(191782.17526011408, 8250931.780813519), 3329], [(192248.2845967843, 8251280.160657467), 3269], [(192968.6177473792, 8251056.569322089), 3272], [(193331.159927079, 8250944.680728183), 3273], [(192074.97714827166, 8253309.620867769), 3433], [(192035.25653965323, 8253732.524981021), 3434], [(191971.98681854992, 8254202.893147049), 3435], [(192368.06408363255, 8254771.573265792), 3412], [(192940.55277804958, 8255291.051026197), 3420], [(192389.6594028919, 8255522.42894769), 3424], [(192037.60415580147, 8255418.025951248), 5377], [(191713.29462339863, 8255244.567091999), 3438], [(191616.41593697545, 8255553.043078507), 3439], [(191517.2354257574, 8255857.108656954), 3440], [(191331.56084263817, 8256427.266792605), 3442], [(191206.14437761452, 8256815.00218799), 3443], [(190870.8127603947, 8257840.751985981), 3444], [(190768.8575633553, 8258154.902378581), 3445], [(189474.29779440613, 8258348.807317869), 3521], [(188527.5841133911, 8258097.535925634), 6289]]"
