Linha_Sentido,Paradas
0.018,"[(201596.72351826477, 8255356.97045415), (188739.5290032365, 8258122.98075948), (201192.67654007446, 8255142.432494853), (201186.00728541665, 8254827.942185227), (201189.0860030583, 8254514.356009521), (189285.61650584632, 8257858.764298311), (189406.00966588032, 8257490.907248838), (200856.54321469032, 8254658.050318531), (189510.99294595528, 8257168.520470135), (200646.35869982635, 8255167.976454443), (189629.4939881902, 8256805.2914250465), (189734.96094241293, 8256481.893770757), (189851.29972286883, 8256124.173616398), (189957.58434905877, 8255797.271529938), (190076.22523004655, 8255434.331641055), (190179.6754340932, 8255115.173147885), (190297.81348333115, 8254751.666301979), (201380.81949665552, 8254213.211110757), (190506.04257028562, 8253843.892649552), (202062.1202021696, 8253497.89908535), (190575.77520444727, 8253170.847098725), (190570.83115485572, 8252698.3407064015), (202438.4382179837, 8252838.548578775), (191433.309925872, 8251522.318732144), (192248.2845967843, 8251280.160657467), (200645.964806356, 8250818.936178273), (192968.6177473792, 8251056.569322089), (193331.159927079, 8250944.680728183), (199882.1395653622, 8250154.459492747), (194309.4637950105, 8250875.231044563), (199432.39139832804, 8249696.607958136), (199404.33179370317, 8249179.399981369), (199337.3250624908, 8248380.864572593), (195017.21486398455, 8249953.177769543), (198908.38389287482, 8247961.38511632), (198573.64172063474, 8247635.333117548), (196486.38575385814, 8249057.564965221), (197694.43966724921, 8247298.529282081), (197313.89879332634, 8247701.394483858), (198094.49743470957, 8247255.888379939), (195658.0244821077, 8249561.389519616), (201865.58619388548, 8251766.60307277), (190700.7218567105, 8252055.426684973), (202045.95874263713, 8255525.451532738)]"
100.2,"[(191225.63215564645, 8251734.843398984), (191433.309925872, 8251522.318732144), (201525.5071962654, 8255354.906054546), (191756.77141613493, 8251331.695231052), (191666.153484405, 8251012.509620725), (201192.67654007446, 8255142.432494853), (201186.00728541665, 8254827.942185227), (191505.03985682336, 8250566.530774557), (191196.47052916753, 8250197.192566121), (200856.54321469032, 8254658.050318531), (190901.77366873264, 8249840.6683242265), (200646.35869982635, 8255167.976454443), (190401.97272769574, 8249272.406934383), (190122.99210343335, 8249000.579292806), (189808.0203541651, 8248723.000676388), (189468.47485309705, 8248460.807828165), (202050.47393638844, 8255303.736057398), (189193.60229672637, 8248248.901478907), (188897.49908145063, 8248022.3757996345), (188610.9092330374, 8247801.890554849), (202149.93743432235, 8254532.146201262), (188326.66366865195, 8247583.862296303), (188034.77346350625, 8247358.913678705), (187756.51646532054, 8247145.821333963), (187468.46672980316, 8246924.362912458), (187130.385328626, 8246665.487405735), (202438.4382179837, 8252838.548578775), (186896.9374452559, 8246013.34698447), (200645.964806356, 8250818.936178273), (199882.1395653622, 8250154.459492747), (199432.39139832804, 8249696.607958136), (186422.9421998161, 8244498.278010131), (199404.33179370317, 8249179.399981369), (187365.4406942288, 8244720.661613353), (199337.3250624908, 8248380.864572593), (187756.5823354766, 8244853.014924359), (188043.31921351183, 8245159.637775489), (198908.38389287482, 8247961.38511632), (198573.64172063474, 8247635.333117548), (188530.22152525134, 8245511.668496006), (189016.59568418315, 8245690.692736225), (197694.43966724921, 8247298.529282081), (189414.38637259637, 8245829.9012122555), (189854.57852823386, 8245995.9444713965), (197017.27668226158, 8247344.327273127), (190541.3861035587, 8246251.598969247), (196417.35980707413, 8247301.1602017805), (190979.50995387702, 8246562.72124143), (191320.7038870096, 8247090.1232275665), (195547.0240016399, 8246529.711244005), (191578.24810560947, 8247541.464653081), (195103.2454002183, 8246434.266134976), (194818.97189947582, 8246374.074299266), (194526.3227863054, 8246304.307623324), (194168.97035967896, 8245996.039066961), (194076.75399222906, 8245661.409436397), (192844.66778834985, 8247348.6301630335), (193553.53981529118, 8244865.056700116), (192408.03913801166, 8246216.526308103), (192978.85594925008, 8244629.925108514), (192133.31165662888, 8245868.892665126), (192639.55404973283, 8244528.44920063), (191902.92934846383, 8245360.3330865875), (192100.52284789563, 8247750.8028002875), (198094.49743470957, 8247255.888379939), (187236.31073571387, 8246070.944026135), (201865.58619388548, 8251766.60307277)]"
0.946,"[(190855.94944832928, 8251214.404782307), (190694.49736879935, 8250869.6775279315), (190419.48399788595, 8250477.586715073), (173993.94907628946, 8251128.839942831), (174107.65605389673, 8251432.09433435), (189949.4160248197, 8249929.2512346925), (174379.9281162654, 8251445.619410208), (189437.91596351782, 8249430.103429334), (175098.34500697633, 8251451.206489245), (188890.1566318338, 8248994.599498896), (175853.6739828022, 8251535.686401467), (188300.68073391475, 8248542.477459565), (187743.9766628799, 8248115.130409425), (176593.8390540392, 8251127.749108141), (176808.95849930256, 8250855.466917104), (187152.30493992753, 8247664.966504606), (176670.00138904987, 8250499.520213146), (176216.24899290194, 8250510.990708336), (175759.66800371147, 8250507.045101347), (175253.51057350292, 8250490.382772238), (185937.61484129043, 8247997.215183667), (174959.25928041368, 8250489.213164929), (174514.22417791525, 8250482.374720148), (185440.1407478593, 8248742.323268768), (174026.7547318237, 8250495.578308379), (185354.74787101735, 8249133.96126139), (174155.06199433038, 8249865.845800122), (185093.26761472694, 8249991.944447902), (174871.0156524855, 8249862.457705461), (184684.62226624598, 8249806.364295826), (175178.55703824232, 8249877.805330578), (175467.72960792098, 8249867.9086734075), (183520.49170357655, 8249970.940593015), (176162.24048254572, 8249871.065580845), (183130.29750840963, 8250027.892468717), (182721.437610183, 8250083.629464138), (182269.10892409456, 8250146.093032495), (176775.18533139775, 8249225.649517635), (181038.45159280984, 8249777.64769091), (177313.82707729892, 8249104.733651691), (180182.32306239873, 8249656.217044954), (179885.86448762275, 8249697.878108957), (177691.56824776824, 8249067.441492001), (179264.86140553042, 8249748.616435824), (178812.6367347729, 8249621.09954864), (175535.24324404972, 8249256.331599969), (174389.79781073768, 8249427.096935503), (176604.07647778993, 8250150.622996809), (186258.52351777864, 8247469.846344761)]"
0.373,"[(162532.11422302714, 8241107.6575780185), (190855.94944832928, 8251214.404782307), (190694.49736879935, 8250869.6775279315), (190419.48399788595, 8250477.586715073), (163384.63657956343, 8240720.960818381), (189949.4160248197, 8249929.2512346925), (162943.46488045936, 8239948.18227561), (189437.91596351782, 8249430.103429334), (188890.1566318338, 8248994.599498896), (188300.68073391475, 8248542.477459565), (163666.26802272594, 8240654.486875939), (187743.9766628799, 8248115.130409425), (164257.93388010806, 8240312.301142921), (187152.30493992753, 8247664.966504606), (164644.0874541013, 8240505.7144842595), (164967.40311243595, 8240892.88802404), (165173.97843858652, 8241553.090934635), (165545.7672779808, 8241735.657710896), (165982.83519079065, 8241951.741703777), (184909.3438694522, 8246151.048286001), (166469.02115703252, 8242189.397905233), (166844.5927689012, 8242277.446266762), (167302.02795797779, 8242436.736181511), (167543.700588078, 8242571.531388712), (167974.3661591155, 8243128.910832122), (168532.68410328473, 8243455.0375761865), (183448.18606660524, 8245154.924301617), (168983.51849012845, 8243676.26267), (183338.61290390242, 8244588.7239051275), (169246.7405181541, 8243811.34379576), (183244.64736863296, 8244210.784089262), (169663.22382979718, 8244142.166819119), (170012.55895493884, 8244388.042891935), (170292.98552428017, 8244524.848016619), (182246.62192737483, 8243541.024817392), (170563.86834073224, 8244659.556241067), (181903.5010240117, 8243353.80247976), (171097.5632261819, 8244533.460076932), (181333.88692922052, 8243042.265714485), (171398.78019785316, 8244205.235305475), (180824.56833699017, 8242760.547698428), (171869.14308379608, 8244157.322884554), (180373.82910587688, 8242554.877829343), (172657.00284659216, 8243502.098986583), (179608.3399820652, 8242467.507273224), (172619.6091084564, 8243146.513895463), (179260.65618876685, 8242432.777154852), (178784.2406667385, 8242380.171915398), (172334.82525494252, 8242574.909746706), (178423.39017570496, 8242343.58633894), (178110.1948812293, 8242309.62112226), (172090.21550860658, 8242021.7591939075), (177836.0863683097, 8242279.173103978), (177010.72857472504, 8242285.640347289), (176562.43646585525, 8242345.789433351), (173118.21479147358, 8242060.077449282), (173559.25563206954, 8242374.589146979), (175233.71334181493, 8242554.168622885), (174019.84049153645, 8242607.803835192), (175561.18243442386, 8242422.269423284), (176280.65846376735, 8242328.2288937755), (172870.62902621494, 8242641.484571254), (180021.86693387126, 8242453.760576734), (182855.29332448347, 8243812.159147771), (186936.62651219548, 8245967.986220076), (187236.31073571387, 8246070.944026135), (187110.2647808053, 8246459.027582086), (191256.79794562783, 8251833.370585918)]"
503.3,"[(201402.28231124312, 8267949.419415804), (185092.4899532849, 8247004.779541624), (200830.40535502008, 8268324.5249680225), (200219.9973629405, 8268437.572939186), (184554.89146454123, 8247377.674857639), (199866.3500796497, 8268503.22052278), (183915.53837470192, 8247452.639816555), (199474.46091659568, 8268258.190953269), (183925.38865388226, 8248133.209397481), (199239.8999268838, 8268087.092566048), (198804.259466102, 8268171.230322199), (183657.41945402772, 8247898.15819844), (183282.21529987565, 8248019.963111493), (198204.22173082893, 8268607.208595097), (183327.3422210983, 8248346.976095563), (197864.0500603774, 8268702.759512003), (197613.77130715037, 8268826.563826103), (183380.8368195817, 8248731.037775185), (183907.5953975221, 8248583.433949421), (184094.86546488263, 8249225.540500749), (183626.96393428932, 8250198.115963384), (197266.0152384115, 8269469.488458981), (196901.8440979605, 8269537.71662176), (183114.34604901925, 8250271.408120718), (196432.7257558721, 8269294.937557444), (195803.66164291953, 8269137.6672715135), (195265.09445338213, 8269016.4823915735), (181876.87818808676, 8250650.864061548), (194926.94792139606, 8269040.612308626), (194559.26601789222, 8268544.750002063), (194836.31503656862, 8267611.293653052), (183975.37012426648, 8251067.640989853), (194817.54400424915, 8267030.373925553), (184079.53063784755, 8251423.611529592), (194962.09950898748, 8266743.379491164), (195264.67680908763, 8266091.615867186), (195473.45525085158, 8265754.175590543), (195460.31851924193, 8265219.653786594), (184894.40550677406, 8252584.46845613), (194475.75020257273, 8264340.4974735845), (185128.1090069964, 8253336.337668774), (194187.77432064776, 8264092.262931266), (185293.730014899, 8253868.371570218), (193702.82300805353, 8263718.071726772), (185484.34928374342, 8254318.943005901), (192374.46986306232, 8262923.356036427), (186542.4493759998, 8256125.9944182765), (189095.56619191405, 8260728.656689658), (187335.39960598934, 8257484.893562904), (189663.21501402854, 8261033.821125584), (193004.38704442861, 8263189.776081482), (184928.61520752904, 8252952.749340742), (182343.70548694782, 8250343.465378113)]"
531.1,"[(201402.28231124312, 8267949.419415804), (193964.6695036022, 8275589.58485887), (201130.76538079558, 8267829.663434813), (200680.33404651016, 8267820.4284322085), (193153.867451793, 8274755.287062843), (200086.6082651356, 8267953.37167911), (192873.64892470386, 8274654.823656176), (192377.95173824107, 8274376.907028361), (199196.43893176125, 8268124.494069352), (198804.259466102, 8268171.230322199), (198204.22173082893, 8268607.208595097), (191052.31262721587, 8274269.371817974), (197864.0500603774, 8268702.759512003), (197613.77130715037, 8268826.563826103), (191725.76775685622, 8273790.347820372), (191799.19412271873, 8273404.247926465), (192077.81884433434, 8273022.886439222), (192312.87826930732, 8272684.515073958), (197266.0152384115, 8269469.488458981), (196901.8440979605, 8269537.71662176), (196432.7257558721, 8269294.937557444), (195803.66164291953, 8269137.6672715135), (195265.09445338213, 8269016.4823915735), (194926.94792139606, 8269040.612308626), (192226.31253645208, 8271826.679427203), (193679.7327096127, 8269675.982534477)]"
396.2,"[(165052.96364968148, 8239621.733858079), (188739.5290032365, 8258122.98075948), (165519.50935198984, 8240080.501787133), (166181.77132955397, 8240408.340202328), (189285.61650584632, 8257858.764298311), (189406.00966588032, 8257490.907248838), (166785.07718075236, 8240705.967169108), (189510.99294595528, 8257168.520470135), (189629.4939881902, 8256805.2914250465), (167394.41227937845, 8241078.037071037), (189734.96094241293, 8256481.893770757), (189851.29972286883, 8256124.173616398), (167969.01554105157, 8241361.37820304), (189957.58434905877, 8255797.271529938), (190076.22523004655, 8255434.331641055), (190179.6754340932, 8255115.173147885), (168737.0888006378, 8241884.1189426035), (169046.70152385905, 8242062.295537735), (190297.81348333115, 8254751.666301979), (169638.00858346588, 8242232.169984236), (190506.04257028562, 8253843.892649552), (170169.4554514562, 8242358.642560766), (190575.77520444727, 8253170.847098725), (170958.14202465338, 8242618.79168801), (190570.83115485572, 8252698.3407064015), (171257.94782940444, 8242718.225146533), (190209.03241758925, 8251451.811272773), (172334.82525494252, 8242574.909746706), (189644.98434749688, 8250625.3057868285), (172090.21550860658, 8242021.7591939075), (189212.53851062065, 8250159.52345088), (188725.73440261654, 8249740.437633227), (188409.70275934873, 8249496.473861199), (173118.21479147358, 8242060.077449282), (188157.94256196212, 8249303.370406082), (187931.8346133458, 8249129.994791511), (173559.25563206954, 8242374.589146979), (187620.26233633162, 8248890.693980674), (174019.84049153645, 8242607.803835192), (187341.49559256263, 8248677.156034567), (187057.0262696956, 8248458.447896175), (186766.06940547808, 8248234.977890616), (175084.4121152423, 8242484.726354061), (186495.95887555182, 8248027.685981722), (175561.18243442386, 8242422.269423284), (185937.61484129043, 8247997.215183667), (176280.65846376735, 8242328.2288937755), (176656.3083149862, 8242277.711048648), (185440.1407478593, 8248742.323268768), (185354.74787101735, 8249133.96126139), (177154.01529387478, 8242208.170267646), (177815.8761570126, 8242222.43169648), (185093.26761472694, 8249991.944447902), (178116.6313899585, 8242252.40385454), (178483.16739110576, 8242291.037774322), (184684.62226624598, 8249806.364295826), (178942.04751602706, 8242345.131451423), (179557.81364674278, 8242406.695430882), (180021.86693387126, 8242453.760576734), (183993.26651392577, 8249163.661297721), (180388.74628890897, 8242500.68945971), (183907.5953975221, 8248583.433949421), (183833.0758140156, 8248147.478349342), (181394.47714561105, 8243007.185760411), (183721.8826912379, 8247464.5921190055), (181937.25744731218, 8243305.162717131), (182433.86741592022, 8243577.473177643), (182855.29332448347, 8243812.159147771), (183448.18606660524, 8245154.924301617), (183426.52730303697, 8244549.065167186), (183244.64736863296, 8244210.784089262), (180824.56833699017, 8242760.547698428), (179260.65618876685, 8242432.777154852), (189461.27315216162, 8250355.265685835)]"
0.851,"[(165052.96364968148, 8239621.733858079), (165519.50935198984, 8240080.501787133), (188739.5290032365, 8258122.98075948), (166181.77132955397, 8240408.340202328), (189493.21570434285, 8258200.299049987), (166785.07718075236, 8240705.967169108), (167394.41227937845, 8241078.037071037), (190724.6049773864, 8258178.91170721), (167969.01554105157, 8241361.37820304), (190839.14862763733, 8257827.82893559), (168737.0888006378, 8241884.1189426035), (169046.70152385905, 8242062.295537735), (191195.70479527093, 8256729.632295212), (169638.00858346588, 8242232.169984236), (191418.43094070093, 8256043.022203985), (170169.4554514562, 8242358.642560766), (170958.14202465338, 8242618.79168801), (171257.94782940444, 8242718.225146533), (192037.60415580147, 8255418.025951248), (192389.6594028919, 8255522.42894769), (172334.82525494252, 8242574.909746706), (192814.6176435906, 8255463.101373943), (172090.21550860658, 8242021.7591939075), (192866.37049687494, 8254937.397287484), (173118.21479147358, 8242060.077449282), (173559.25563206954, 8242374.589146979), (174019.84049153645, 8242607.803835192), (191923.40194752713, 8254271.309801895), (191981.83519651508, 8253892.5841361545), (175084.4121152423, 8242484.726354061), (175561.18243442386, 8242422.269423284), (192092.68032669244, 8252624.283785263), (176280.65846376735, 8242328.2288937755), (176656.3083149862, 8242277.711048648), (191998.43258927783, 8252085.662794854), (191896.1295499169, 8251749.522870702), (177154.01529387478, 8242208.170267646), (177815.8761570126, 8242222.43169648), (178116.6313899585, 8242252.40385454), (178483.16739110576, 8242291.037774322), (192968.6177473792, 8251056.569322089), (178942.04751602706, 8242345.131451423), (193331.159927079, 8250944.680728183), (179557.81364674278, 8242406.695430882), (180021.86693387126, 8242453.760576734), (180388.74628890897, 8242500.68945971), (191756.77141613493, 8251331.695231052), (181394.47714561105, 8243007.185760411), (191666.153484405, 8251012.509620725), (181937.25744731218, 8243305.162717131), (191505.03985682336, 8250566.530774557), (182433.86741592022, 8243577.473177643), (191196.47052916753, 8250197.192566121), (182855.29332448347, 8243812.159147771), (190901.77366873264, 8249840.6683242265), (190401.97272769574, 8249272.406934383), (183426.52730303697, 8244549.065167186), (190122.99210343335, 8249000.579292806), (189808.0203541651, 8248723.000676388), (183496.51589736817, 8245069.230620267), (189468.47485309705, 8248460.807828165), (189193.60229672637, 8248248.901478907), (188897.49908145063, 8248022.3757996345), (188610.9092330374, 8247801.890554849), (188326.66366865195, 8247583.862296303), (188034.77346350625, 8247358.913678705), (184907.94021742448, 8246017.598657041), (187756.51646532054, 8247145.821333963), (187468.46672980316, 8246924.362912458), (187130.385328626, 8246665.487405735), (186896.9374452559, 8246013.34698447), (187236.31073571387, 8246070.944026135), (183244.64736863296, 8244210.784089262), (180824.56833699017, 8242760.547698428), (179260.65618876685, 8242432.777154852)]"
124.6,"[(183217.46713462757, 8243229.6526141185), (183545.60191755072, 8244597.032017885), (183928.7594851643, 8244850.9922356885), (184224.71963642543, 8245058.2177680135), (183496.51589736817, 8245069.230620267), (183840.46905478276, 8247335.230788747), (183925.38865388226, 8248133.209397481), (184012.9711692611, 8248658.751524101), (184094.86546488263, 8249225.540500749), (183880.95090067975, 8250566.059661404), (183975.37012426648, 8251067.640989853), (184079.53063784755, 8251423.611529592), (184590.1531085154, 8250861.430040665), (185594.0610785763, 8251120.828836195), (185729.37857612778, 8251447.439903963), (184014.10780849168, 8243095.064673046), (183123.44723746812, 8242398.573448606)]"
330.1,"[(161849.06869743133, 8249591.030158647), (188739.5290032365, 8258122.98075948), (161502.12269079004, 8250867.543039295), (189285.61650584632, 8257858.764298311), (161336.6938858167, 8251228.706017818), (189406.00966588032, 8257490.907248838), (189510.99294595528, 8257168.520470135), (189629.4939881902, 8256805.2914250465), (161590.38948492223, 8250422.947753993), (189734.96094241293, 8256481.893770757), (189851.29972286883, 8256124.173616398), (189957.58434905877, 8255797.271529938), (190076.22523004655, 8255434.331641055), (190179.6754340932, 8255115.173147885), (190297.81348333115, 8254751.666301979), (190506.04257028562, 8253843.892649552), (190575.77520444727, 8253170.847098725), (162795.90454049886, 8249697.511922682), (190570.83115485572, 8252698.3407064015), (163291.9235235469, 8249858.877814775), (190287.4995396006, 8252206.009815295), (163956.74779346664, 8250064.882692116), (164528.04097211882, 8250217.507649342), (189228.44890859054, 8252576.6587803885), (164976.09906536742, 8250413.661474611), (188515.5462853107, 8252693.161140456), (165557.27243591007, 8250694.631084983), (165839.21651930694, 8250852.741194831), (188011.30312208168, 8252597.810401991), (166320.5512731669, 8250697.253544065), (166721.22385345376, 8250256.575698698), (187925.63164508637, 8251595.639597445), (166947.03093152703, 8249956.260350267), (187503.79011095333, 8251002.994676043), (167329.99702268402, 8249457.8380680485), (167719.85095387785, 8248870.374536079), (168028.07268703796, 8248120.323157168), (186007.1579323302, 8250193.077461584), (168264.5660850986, 8247508.715410269), (168406.63845269673, 8247143.857244533), (184684.62226624598, 8249806.364295826), (168409.66984644512, 8246493.728238771), (168773.60369073047, 8246586.27681718), (183520.49170357655, 8249970.940593015), (169342.85099354776, 8246772.358375959), (183130.29750840963, 8250027.892468717), (182721.437610183, 8250083.629464138), (169939.195217536, 8246900.011591148), (182269.10892409456, 8250146.093032495), (171404.94572179046, 8246742.039669225), (181057.04614727656, 8249710.39866939), (172085.0076131418, 8246901.207700453), (180294.78156316743, 8249574.799710918), (172273.02282735214, 8247272.85391079), (179777.91802097476, 8249640.416377651), (179232.21489541937, 8249699.418461042), (178819.2003116657, 8249569.508044245), (173579.12738966587, 8247346.082000319), (177954.27739411872, 8249226.343460563), (173983.41072341066, 8247405.613250382), (177643.1273938021, 8249102.518460437), (174786.0242658942, 8247531.290333842), (175430.15239154975, 8247894.2986675445), (175838.2721836318, 8248154.648667809), (176290.57739242545, 8248444.1028347695), (170769.124456879, 8246922.282605333), (185661.6861806999, 8249988.6232047705), (186271.81214024406, 8250210.702254756), (188689.3180491896, 8252323.820497675), (189255.98550432175, 8252104.276985513), (189528.02265808644, 8252024.23772208)]"
