,linha,paradas
0,0.018,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-47.78872 -15.76729)
2    POINT (-47.78873 -15.77012)
3    POINT (-47.79217 -15.76816)
4    POINT (-47.79319 -15.76588)
..                           ...
121  POINT (-47.89838 -15.73702)
122  POINT (-47.89805 -15.74110)
123  POINT (-47.89822 -15.74181)
124  POINT (-47.89728 -15.74474)
125  POINT (-47.89692 -15.74462)

[126 rows x 1 columns]"
1,0.946,"                        geometry
0    POINT (-47.96572 -15.80723)
1    POINT (-47.96643 -15.80779)
2    POINT (-47.96643 -15.80739)
3    POINT (-47.96547 -15.80754)
4    POINT (-47.96682 -15.80706)
..                           ...
171  POINT (-47.89801 -15.81589)
172  POINT (-47.89820 -15.81603)
173  POINT (-47.90020 -15.81720)
174  POINT (-47.89972 -15.81719)
175  POINT (-47.90083 -15.81642)

[176 rows x 1 columns]"
2,0.373,"                        geometry
0    POINT (-47.96304 -15.86636)
1    POINT (-47.96287 -15.86609)
2    POINT (-47.96680 -15.86686)
3    POINT (-47.96505 -15.86656)
4    POINT (-47.96109 -15.86449)
..                           ...
205  POINT (-47.89801 -15.81589)
206  POINT (-47.89820 -15.81603)
207  POINT (-47.90020 -15.81720)
208  POINT (-47.89972 -15.81719)
209  POINT (-47.90083 -15.81642)

[210 rows x 1 columns]"
3,503.3,"                        geometry
0    POINT (-47.82261 -15.63894)
1    POINT (-47.82270 -15.63879)
2    POINT (-47.82156 -15.63859)
3    POINT (-47.82128 -15.63800)
4    POINT (-47.79193 -15.64530)
..                           ...
210  POINT (-47.93667 -15.76606)
211  POINT (-47.93703 -15.77401)
212  POINT (-47.90070 -15.71254)
213  POINT (-47.89537 -15.70986)
214  POINT (-47.89811 -15.71241)

[215 rows x 1 columns]"
4,531.1,"                       geometry
0   POINT (-47.82261 -15.63894)
1   POINT (-47.82270 -15.63879)
2   POINT (-47.82156 -15.63859)
3   POINT (-47.82128 -15.63800)
4   POINT (-47.79223 -15.64960)
..                          ...
85  POINT (-47.85353 -15.63658)
86  POINT (-47.85342 -15.63549)
87  POINT (-47.85230 -15.63679)
88  POINT (-47.88136 -15.59056)
89  POINT (-47.88075 -15.59052)

[90 rows x 1 columns]"
5,0.851,"                        geometry
0    POINT (-47.96304 -15.86636)
1    POINT (-47.96287 -15.86609)
2    POINT (-47.96680 -15.86686)
3    POINT (-47.96505 -15.86656)
4    POINT (-47.96109 -15.86449)
..                           ...
217  POINT (-47.89793 -15.73464)
218  POINT (-47.90139 -15.82523)
219  POINT (-47.89880 -15.82335)
220  POINT (-47.90071 -15.82521)
221  POINT (-47.89857 -15.82367)

[222 rows x 1 columns]"
6,330.1,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-47.90633 -15.73623)
2    POINT (-47.90435 -15.73602)
3    POINT (-48.10511 -15.81150)
4    POINT (-48.10346 -15.81313)
..                           ...
266  POINT (-48.14271 -15.80733)
267  POINT (-48.13989 -15.80657)
268  POINT (-48.13995 -15.80677)
269  POINT (-48.14249 -15.80750)
270  POINT (-48.14117 -15.80691)

[271 rows x 1 columns]"
7,0.522,"                        geometry
0    POINT (-47.82261 -15.63894)
1    POINT (-47.82270 -15.63879)
2    POINT (-47.82156 -15.63859)
3    POINT (-47.82128 -15.63800)
4    POINT (-47.79193 -15.64530)
..                           ...
210  POINT (-47.89554 -15.72391)
211  POINT (-47.89611 -15.72536)
212  POINT (-47.89579 -15.72520)
213  POINT (-47.89838 -15.71831)
214  POINT (-47.89801 -15.71827)

[215 rows x 1 columns]"
8,519.3,"                        geometry
0    POINT (-47.88979 -15.74707)
1    POINT (-47.84407 -15.63419)
2    POINT (-47.84460 -15.65931)
3    POINT (-47.84657 -15.65634)
4    POINT (-47.84193 -15.66422)
..                           ...
112  POINT (-47.89554 -15.72391)
113  POINT (-47.89611 -15.72536)
114  POINT (-47.89579 -15.72520)
115  POINT (-47.89838 -15.71831)
116  POINT (-47.89801 -15.71827)

[117 rows x 1 columns]"
9,0.520,"                        geometry
0    POINT (-47.88979 -15.74707)
1    POINT (-47.82261 -15.63894)
2    POINT (-47.82270 -15.63879)
3    POINT (-47.82156 -15.63859)
4    POINT (-47.82128 -15.63800)
..                           ...
176  POINT (-47.89554 -15.72391)
177  POINT (-47.89611 -15.72536)
178  POINT (-47.89579 -15.72520)
179  POINT (-47.89838 -15.71831)
180  POINT (-47.89801 -15.71827)

[181 rows x 1 columns]"
10,932.4,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-48.12230 -15.84582)
2    POINT (-48.12070 -15.84800)
3    POINT (-48.12093 -15.84814)
4    POINT (-48.11468 -15.85148)
..                           ...
218  POINT (-47.89838 -15.73702)
219  POINT (-47.89805 -15.74110)
220  POINT (-47.89822 -15.74181)
221  POINT (-47.89728 -15.74474)
222  POINT (-47.89692 -15.74462)

[223 rows x 1 columns]"
11,0.550,"                       geometry
0   POINT (-47.82261 -15.63894)
1   POINT (-47.82270 -15.63879)
2   POINT (-47.82156 -15.63859)
3   POINT (-47.82128 -15.63800)
4   POINT (-47.79223 -15.64960)
..                          ...
94  POINT (-47.88507 -15.59190)
95  POINT (-47.88504 -15.59188)
96  POINT (-47.88136 -15.59056)
97  POINT (-47.88075 -15.59052)
98  POINT (-47.88455 -15.59183)

[99 rows x 1 columns]"
12,0.853,"                        geometry
0    POINT (-47.96304 -15.86636)
1    POINT (-47.96287 -15.86609)
2    POINT (-47.96680 -15.86686)
3    POINT (-47.96505 -15.86656)
4    POINT (-47.96109 -15.86449)
..                           ...
219  POINT (-47.89793 -15.73464)
220  POINT (-47.90139 -15.82523)
221  POINT (-47.89880 -15.82335)
222  POINT (-47.90071 -15.82521)
223  POINT (-47.89857 -15.82367)

[224 rows x 1 columns]"
13,0.882,"                        geometry
0    POINT (-47.96304 -15.86636)
1    POINT (-47.96287 -15.86609)
2    POINT (-47.96680 -15.86686)
3    POINT (-47.96505 -15.86656)
4    POINT (-47.96109 -15.86449)
..                           ...
170  POINT (-47.91911 -15.80191)
171  POINT (-47.91606 -15.80011)
172  POINT (-47.92143 -15.80326)
173  POINT (-47.92345 -15.80438)
174  POINT (-47.91679 -15.80016)

[175 rows x 1 columns]"
14,807.4,"                       geometry
0   POINT (-48.23779 -15.94181)
1   POINT (-48.23544 -15.94081)
2   POINT (-48.23175 -15.93873)
3   POINT (-48.24137 -15.94243)
4   POINT (-48.24114 -15.94260)
..                          ...
92  POINT (-48.16531 -15.91970)
93  POINT (-48.16835 -15.92301)
94  POINT (-48.17691 -15.91853)
95  POINT (-48.12833 -15.90239)
96  POINT (-48.05527 -15.91316)

[97 rows x 1 columns]"
15,617.2,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-47.82298 -15.67538)
2    POINT (-47.82331 -15.67509)
3    POINT (-47.76089 -15.64431)
4    POINT (-47.75793 -15.64293)
..                           ...
224  POINT (-47.89537 -15.70986)
225  POINT (-47.89811 -15.71241)
226  POINT (-47.89611 -15.72536)
227  POINT (-47.89838 -15.71831)
228  POINT (-47.89801 -15.71827)

[229 rows x 1 columns]"
16,920.4,"                        geometry
0    POINT (-47.86711 -15.79760)
1    POINT (-47.87085 -15.79877)
2    POINT (-47.86920 -15.79929)
3    POINT (-47.86234 -15.79907)
4    POINT (-47.86774 -15.79739)
..                           ...
255  POINT (-47.89801 -15.81589)
256  POINT (-47.89820 -15.81603)
257  POINT (-47.90020 -15.81720)
258  POINT (-47.89972 -15.81719)
259  POINT (-47.90083 -15.81642)

[260 rows x 1 columns]"
17,0.883,"                        geometry
0    POINT (-48.04649 -15.91734)
1    POINT (-48.04654 -15.91720)
2    POINT (-48.04554 -15.92044)
3    POINT (-48.04599 -15.92026)
4    POINT (-48.04672 -15.91787)
..                           ...
148  POINT (-48.11769 -15.81706)
149  POINT (-48.11750 -15.81751)
150  POINT (-48.11731 -15.81709)
151  POINT (-48.11828 -15.81454)
152  POINT (-48.11858 -15.81477)

[153 rows x 1 columns]"
18,156.7,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-47.97905 -15.84625)
2    POINT (-47.90633 -15.73623)
3    POINT (-47.90435 -15.73602)
4    POINT (-47.96572 -15.80723)
..                           ...
128  POINT (-47.89822 -15.74181)
129  POINT (-47.89728 -15.74474)
130  POINT (-47.89692 -15.74462)
131  POINT (-47.97923 -15.82525)
132  POINT (-47.97757 -15.82437)

[133 rows x 1 columns]"
19,1001,"                        geometry
0    POINT (-47.88979 -15.74707)
1    POINT (-47.82298 -15.67538)
2    POINT (-47.82331 -15.67509)
3    POINT (-47.76089 -15.64431)
4    POINT (-47.75793 -15.64293)
..                           ...
129  POINT (-47.89537 -15.70986)
130  POINT (-47.89811 -15.71241)
131  POINT (-47.89611 -15.72536)
132  POINT (-47.89838 -15.71831)
133  POINT (-47.89801 -15.71827)

[134 rows x 1 columns]"
20,515.6,"                       geometry
0   POINT (-47.88979 -15.74707)
1   POINT (-47.92875 -15.63459)
2   POINT (-47.91315 -15.64621)
3   POINT (-47.93193 -15.63245)
4   POINT (-47.93446 -15.63042)
..                          ...
88  POINT (-47.95215 -15.61762)
89  POINT (-47.95535 -15.61527)
90  POINT (-47.95226 -15.61739)
91  POINT (-47.94900 -15.61974)
92  POINT (-47.95835 -15.61287)

[93 rows x 1 columns]"
21,506.4,"                        geometry
0    POINT (-47.88979 -15.74707)
1    POINT (-47.85345 -15.57895)
2    POINT (-47.85400 -15.57940)
3    POINT (-47.87002 -15.61239)
4    POINT (-47.87012 -15.61272)
..                           ...
138  POINT (-47.89611 -15.72536)
139  POINT (-47.89579 -15.72520)
140  POINT (-47.89838 -15.71831)
141  POINT (-47.89801 -15.71827)
142  POINT (-47.87994 -15.59922)

[143 rows x 1 columns]"
22,2205,"                        geometry
0    POINT (-47.94217 -15.86579)
1    POINT (-47.93857 -15.86309)
2    POINT (-47.94236 -15.86555)
3    POINT (-47.97557 -15.92315)
4    POINT (-47.97573 -15.92292)
..                           ...
113  POINT (-47.90526 -15.81193)
114  POINT (-47.90854 -15.81387)
115  POINT (-47.91091 -15.81558)
116  POINT (-47.91059 -15.81581)
117  POINT (-47.90791 -15.81387)

[118 rows x 1 columns]"
23,0.958,"                        geometry
0    POINT (-47.87750 -15.72471)
1    POINT (-47.87832 -15.72369)
2    POINT (-47.84547 -15.74831)
3    POINT (-47.84534 -15.74912)
4    POINT (-47.84833 -15.74571)
..                           ...
231  POINT (-48.13849 -15.80322)
232  POINT (-48.13989 -15.80657)
233  POINT (-48.13995 -15.80677)
234  POINT (-48.14249 -15.80750)
235  POINT (-48.14117 -15.80691)

[236 rows x 1 columns]"
24,0.555,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-48.11906 -15.84351)
2    POINT (-48.12230 -15.84582)
3    POINT (-48.12070 -15.84800)
4    POINT (-48.12093 -15.84814)
..                           ...
220  POINT (-47.89838 -15.73702)
221  POINT (-47.89805 -15.74110)
222  POINT (-47.89822 -15.74181)
223  POINT (-47.89728 -15.74474)
224  POINT (-47.89692 -15.74462)

[225 rows x 1 columns]"
25,376.2,"                        geometry
0    POINT (-47.89601 -15.74749)
1    POINT (-48.04657 -15.85114)
2    POINT (-48.04580 -15.85302)
3    POINT (-48.04652 -15.85157)
4    POINT (-48.04566 -15.85297)
..                           ...
176  POINT (-47.89838 -15.73702)
177  POINT (-47.89805 -15.74110)
178  POINT (-47.89822 -15.74181)
179  POINT (-47.89728 -15.74474)
180  POINT (-47.89692 -15.74462)

[181 rows x 1 columns]"
